iter	MultiClass
0	1.055415163
1	1.020995925
2	0.9905215271
3	0.9605544716
4	0.9344133798
5	0.9115268474
6	0.8897836434
7	0.8699267374
8	0.851692685
9	0.8312338292
10	0.8133794809
11	0.7963848273
12	0.780846263
13	0.7642813822
14	0.7488210152
15	0.7329453422
16	0.7154766755
17	0.7031134683
18	0.6868469549
19	0.6783164893
20	0.6650799735
21	0.6530896671
22	0.6420527484
23	0.6333086823
24	0.6210602761
25	0.613253844
26	0.6031116594
27	0.5943449099
28	0.584133428
29	0.574977534
30	0.5667311059
31	0.5561643242
32	0.547658709
33	0.5399391308
34	0.533727684
35	0.525975001
36	0.5198708963
37	0.5145822251
38	0.5060015621
39	0.4990160097
40	0.4915187662
41	0.4845466305
42	0.4752497918
43	0.4699786066
44	0.4678312824
45	0.4621615777
46	0.4570608016
47	0.4539683792
48	0.4476899586
49	0.4414219687
50	0.4366123787
51	0.4338227736
52	0.4283755239
53	0.4240437049
54	0.4177739657
55	0.4147309247
56	0.4088169312
57	0.4035822886
58	0.4002086959
59	0.3950450627
60	0.3900867093
61	0.3854501426
62	0.3822462903
63	0.3781512779
64	0.3735427304
65	0.3704929077
66	0.3677427716
67	0.3643866477
68	0.3595172048
69	0.3570109199
70	0.3535051403
71	0.3496387879
72	0.3461073012
73	0.342274182
74	0.3396569496
75	0.3370021223
76	0.3343286982
77	0.3309507842
78	0.3282198169
79	0.3252061364
80	0.3215042367
81	0.3187401581
82	0.3154461325
83	0.3120782366
84	0.3098350261
85	0.3075800176
86	0.3037605781
87	0.3017064245
88	0.2982537585
89	0.2954138518
90	0.2914691494
91	0.2882563458
92	0.2847126549
93	0.2820860666
94	0.2792149542
95	0.2778925107
96	0.2761993844
97	0.2728458745
98	0.2703355257
99	0.2678175608
100	0.265210852
101	0.2630539925
102	0.260998736
103	0.2589015724
104	0.2559803951
105	0.2529564808
106	0.2505606952
107	0.247757395
108	0.245315495
109	0.2430155318
110	0.2413866848
111	0.2397736985
112	0.2370536656
113	0.2350452274
114	0.2328960124
115	0.23072838
116	0.2283953145
117	0.2265218722
118	0.2244840053
119	0.2230114956
120	0.22111432
121	0.2200147279
122	0.2178752967
123	0.2169543015
124	0.2146004624
125	0.2131033583
126	0.2114069863
127	0.2099665745
128	0.2079721508
129	0.2065709445
130	0.2056313048
131	0.2041034903
132	0.2018847849
133	0.1999988613
134	0.1984456211
135	0.1965795367
136	0.1955804318
137	0.1941205701
138	0.1930550037
139	0.1908505821
140	0.1895479617
141	0.1878376054
142	0.1859759891
143	0.1843772063
144	0.1824231047
145	0.1803973068
146	0.1786468479
147	0.177567205
148	0.1763197535
149	0.1745544403
150	0.1730379976
151	0.1718772856
152	0.1707604016
153	0.1697454046
154	0.1684283114
155	0.1676915008
156	0.1665623734
157	0.1653800158
158	0.1644631559
159	0.1633080118
160	0.1617901118
161	0.1610618454
162	0.1601266955
163	0.1587321905
164	0.1578901247
165	0.1568512191
166	0.1557462712
167	0.1544792302
168	0.1538349682
169	0.1522934207
170	0.1511136662
171	0.1499908596
172	0.148393158
173	0.1472478944
174	0.1469057958
175	0.1456220534
176	0.1447053371
177	0.1437392803
178	0.1434210482
179	0.1422569049
180	0.1417106253
181	0.1408404318
182	0.1395830818
183	0.1388932088
184	0.1380657214
185	0.1370236838
186	0.1361606249
187	0.1352560166
188	0.1345055
189	0.1338107139
190	0.1328480798
191	0.131815021
192	0.1313127815
193	0.1305956864
194	0.1298443927
