iter	Passed	Remaining
0	7	7591
1	12	6151
2	18	6075
3	24	5980
4	28	5731
5	36	6079
6	41	5885
7	46	5726
8	52	5803
9	60	6014
10	67	6048
11	73	6051
12	81	6183
13	87	6192
14	95	6279
15	102	6281
16	107	6230
17	114	6248
18	120	6227
19	126	6196
20	133	6213
21	138	6140
22	142	6064
23	149	6071
24	155	6052
25	160	6027
26	166	5999
27	171	5944
28	177	5947
29	183	5922
30	188	5882
31	194	5877
32	199	5849
33	204	5802
34	210	5801
35	215	5780
36	220	5738
37	226	5730
38	232	5718
39	236	5682
40	244	5713
41	251	5729
42	259	5766
43	264	5748
44	269	5726
45	276	5739
46	282	5725
47	286	5689
48	293	5698
49	298	5669
50	303	5639
51	309	5638
52	314	5626
53	319	5597
54	325	5587
55	329	5559
56	334	5531
57	340	5536
58	346	5528
59	351	5501
60	357	5501
61	362	5478
62	368	5481
63	374	5482
64	380	5470
65	386	5467
66	411	5736
67	421	5777
68	427	5769
69	434	5774
70	441	5776
71	448	5786
72	456	5796
73	463	5799
74	471	5817
75	478	5815
76	486	5834
77	492	5822
78	502	5860
79	508	5849
80	552	6268
81	568	6365
82	602	6653
83	625	6822
84	642	6918
85	673	7155
86	688	7226
87	706	7320
88	713	7304
89	720	7281
90	725	7244
91	734	7249
92	739	7212
93	746	7196
94	752	7166
95	757	7129
96	765	7121
97	770	7094
98	776	7071
99	782	7046
100	788	7017
101	796	7010
102	801	6983
103	807	6957
104	813	6936
105	819	6911
106	826	6901
107	833	6882
108	838	6850
109	845	6839
110	850	6813
111	857	6797
112	864	6782
113	868	6751
114	895	6892
115	902	6880
116	913	6892
117	922	6892
118	931	6897
119	942	6908
120	949	6899
121	959	6902
122	966	6890
123	976	6896
124	983	6884
125	993	6894
126	1000	6878
127	1020	6953
128	1081	7304
129	1147	7682
130	1208	8015
131	1242	8168
132	1310	8543
133	1318	8520
134	1325	8493
135	1336	8490
136	1343	8465
137	1356	8470
138	1366	8467
139	1375	8447
140	1384	8431
141	1392	8413
142	1402	8405
143	1410	8385
144	1422	8390
145	1431	8371
146	1506	8740
147	1542	8880
148	1644	9392
149	1651	9360
150	1660	9338
151	1668	9306
152	1676	9283
153	1687	9267
154	1695	9244
155	1705	9225
156	1713	9201
157	1722	9177
158	1728	9144
159	1741	9141
160	1747	9104
161	1756	9083
162	1763	9054
163	1776	9056
164	1783	9024
165	1834	9217
166	1854	9249
167	1876	9295
168	1893	9311
169	1912	9335
170	1923	9327
171	1950	9388
172	1956	9354
173	1962	9316
174	1971	9293
175	1976	9255
176	1984	9227
177	1991	9195
178	2002	9183
179	2008	9149
180	2016	9125
181	2023	9094
182	2033	9077
183	2039	9043
184	2048	9023
185	2055	8993
186	2067	8989
187	2073	8955
188	2082	8935
189	2089	8909
190	2099	8893
191	2106	8864
192	2114	8842
193	2121	8812
194	2130	8796
195	2136	8765
196	2145	8743
197	2151	8714
198	2159	8694
199	2167	8669
200	2176	8651
201	2183	8625
202	2193	8612
203	2200	8586
204	2208	8566
205	2215	8540
206	2223	8517
207	2230	8492
208	2237	8466
209	2316	8713
210	2324	8692
211	2332	8668
212	2337	8637
213	2344	8612
214	2352	8590
215	2360	8568
216	2369	8550
217	2423	8692
218	2506	8939
219	2530	8971
220	2545	8971
221	2556	8959
222	2578	8983
223	2586	8959
224	2593	8931
225	2601	8908
226	2607	8880
227	2615	8854
228	2622	8830
229	2628	8799
230	2636	8777
231	2642	8747
232	2651	8728
233	2657	8699
234	2667	8685
235	2675	8660
236	2683	8639
237	2689	8611
238	2699	8595
239	2705	8568
240	2713	8547
241	2721	8525
242	2732	8513
243	2740	8490
244	2749	8472
245	2757	8451
246	2765	8429
247	2773	8408
248	2775	8372
249	2782	8347
250	2793	8336
251	2800	8312
252	2808	8293
253	2816	8273
254	2833	8276
255	2870	8341
256	2879	8323
257	2887	8304
258	2896	8285
259	2904	8266
260	2910	8242
261	2919	8224
262	2926	8200
263	2936	8186
264	2942	8162
265	2945	8127
266	2954	8110
267	2996	8185
268	3012	8185
269	3023	8174
270	3069	8258
271	3090	8270
272	3123	8318
273	3141	8322
274	3154	8315
275	3178	8337
276	3184	8311
277	3190	8286
278	3200	8269
279	3266	8398
280	3296	8433
281	3302	8409
282	3311	8388
283	3319	8368
284	3327	8348
285	3374	8423
286	3384	8409
287	3429	8479
288	3444	8475
289	3483	8528
290	3501	8531
291	3514	8521
292	3539	8540
293	3547	8518
294	3556	8500
295	3562	8473
296	3571	8453
297	3637	8568
298	3658	8576
299	3666	8556
300	3674	8533
301	3683	8512
302	3690	8489
303	3699	8469
304	3706	8446
305	3718	8432
306	3726	8411
307	3737	8396
308	3745	8375
309	3753	8355
310	3767	8345
311	3775	8324
312	3784	8307
313	3795	8291
314	3805	8274
315	3815	8258
316	3823	8237
317	3833	8220
318	3842	8202
319	3852	8186
320	3863	8171
321	3871	8151
322	3880	8133
323	3891	8119
324	3942	8188
325	3991	8251
326	4053	8341
327	4074	8346
328	4131	8426
329	4147	8420
330	4173	8434
331	4183	8416
332	4195	8403
333	4229	8433
334	4239	8414
335	4248	8394
336	4258	8377
337	4265	8354
338	4273	8333
339	4283	8314
340	4291	8292
341	4299	8271
342	4306	8248
343	4342	8280
344	4351	8262
345	4359	8240
346	4370	8225
347	4379	8205
348	4387	8184
349	4397	8166
350	4404	8144
351	4414	8126
352	4420	8102
353	4430	8085
354	4437	8063
355	4447	8044
356	4453	8021
357	4466	8009
358	4481	8002
359	4489	7981
360	4500	7966
361	4510	7948
362	4520	7932
363	4532	7919
364	4542	7902
365	4551	7884
366	4562	7869
367	4570	7849
368	4581	7834
369	4587	7811
370	4598	7796
371	4611	7784
372	4618	7762
373	4627	7745
374	4634	7723
375	4646	7710
376	4651	7687
377	4659	7667
378	4666	7646
379	4677	7630
380	4684	7610
381	4755	7693
382	4781	7702
383	4791	7685
384	4798	7665
385	4808	7649
386	4816	7629
387	4832	7622
388	4844	7609
389	4856	7595
390	4864	7575
391	4876	7563
392	4892	7556
393	4900	7537
394	4909	7519
395	4919	7504
396	4927	7484
397	4937	7468
398	4946	7450
399	4954	7432
400	4962	7412
401	4972	7396
402	4985	7384
403	4991	7363
404	4999	7344
405	5006	7324
406	5014	7306
407	5022	7287
408	5031	7270
409	5038	7250
410	5047	7233
411	5055	7214
412	5063	7196
413	5070	7176
414	5077	7157
415	5086	7140
416	5093	7120
417	5102	7104
418	5113	7090
419	5119	7070
420	5128	7052
421	5134	7033
422	5143	7016
423	5151	6997
424	5160	6982
425	5167	6962
426	5175	6944
427	5183	6926
